Second,CH1,CH2,CH3,
0.0219,13,-10.2,-4.2, 
0.022,13.2,-9.8,-4.4, 
0.0221,13.8,-10,-5.4, 
0.0222,14,-9.6,-5.6, 
0.0223,14.6,-9.4,-6.6, 
0.0224,14.8,-9.4,-7, 
0.0225,15.2,-9,-7.6, 
0.0226,15.2,-9,-7.8, 
0.0227,15.8,-8.6,-8.8, 
0.0228,15.8,-8.6,-8.8, 
0.0229,16.6,-9,-9.6, 
0.023,16.6,-8.6,-9.6, 
0.0231,16.6,-8.8,-10, 
0.0232,16.8,-8.6,-9.8, 
0.0233,17.2,-8.8,-10.4, 
0.0234,17.2,-8.8,-10.2, 
0.0235,17.4,-8.6,-10.8, 
0.0236,17.4,-8.6,-10.6, 
0.0237,17.2,-8.4,-11, 
0.0238,17.2,-8.2,-10.8, 
0.0239,16.8,-7.8,-11, 
0.024,16.6,-7.6,-10.6, 
0.0241,16,-6.8,-11, 
0.0242,16.2,-6.8,-11.2, 
0.0243,15.4,-5.8,-11.4, 
0.0244,15.2,-5.2,-11.2, 
0.0245,14.6,-4.4,-12, 
0.0246,14.6,-3.8,-11.8, 
0.0247,13.8,-2.4,-12.4, 
0.0248,14,-2.2,-12.4, 
0.0249,13.4,-1.2,-13.2, 
0.025,13.2,-0.8,-13.2, 
0.0251,12.6,0.4,-13.6, 
0.0252,12.4,0.6,-13.6, 
0.0253,12.2,2,-14.2, 
0.0254,11.8,2.2,-14.6, 
0.0255,11.2,3.2,-15.2, 
0.0256,11.4,3.8,-15.2, 
0.0257,10.6,4.8,-15.8, 
0.0258,10.8,5.2,-16, 
0.0259,10.4,6,-16.4, 
0.026,10.4,6.4,-16.8, 
0.0261,9.8,7,-17, 
0.0262,10,7.2,-17.2, 
0.0263,9.8,7.8,-17.6, 
0.0264,9.6,7.8,-17.8, 
0.0265,10,8.4,-18.2, 
0.0266,10,8.4,-18.2, 
0.0267,9.4,8.8,-18.2, 
0.0268,9.4,8.8,-18.4, 
0.0269,9.4,9.2,-18.2, 
0.027,9.2,9.2,-18.2, 
0.0271,8.8,9.2,-17.8, 
0.0272,8.6,9.2,-17.4, 
0.0273,8,8.8,-16.8, 
0.0274,8.2,8.8,-16.8, 
0.0275,7.2,9,-16.2, 
0.0276,7.2,8.8,-16, 
0.0277,6,8.8,-15.2, 
0.0278,5.8,8.8,-14.6, 
0.0279,5,9.2,-14.2, 
0.028,4.6,9.2,-13.8, 
0.0281,3.6,8.8,-13, 
0.0282,3,8.6,-12.4, 
0.0283,2.2,9.2,-11.8, 
0.0284,1.8,9.2,-11.8, 
0.0285,0.8,8.8,-10.6, 
0.0286,0.4,9.2,-10.4, 
0.0287,-0.6,9,-9.6, 
0.0288,-0.6,9.2,-9.2, 
0.0289,-1.6,9,-8.2, 
0.029,-2,9.2,-8.2, 
0.0291,-3,9.2,-7.4, 
0.0292,-3.2,9.2,-7.4, 
0.0293,-4,9.4,-6.6, 
0.0294,-4,9.2,-6, 
0.0295,-4.8,9.2,-5.8, 
0.0296,-5,9.2,-5.6, 
0.0297,-5.6,9.8,-5.4, 
0.0298,-5.6,9.6,-5.4, 
0.0299,-6,9.4,-5, 
0.03,-6.2,9.8,-4.8, 
0.0301,-6.6,9.8,-4.6, 
0.0302,-6.4,9.6,-4.4, 
0.0303,-6.6,9.8,-4.8, 
0.0304,-7,9.6,-4.4, 
0.0305,-6.6,9.8,-4, 
0.0306,-7,9.8,-3.8, 
0.0307,-7.4,9.2,-3.2, 
0.0308,-7.6,9.2,-3.2, 
0.0309,-8,9.2,-2.4, 
0.031,-8,9,-2.2, 
0.0311,-8.6,8.8,-1.2, 
0.0312,-8.8,9,-1, 
0.0313,-9.4,8.4,-0.4, 
0.0314,-9.6,8.4,0.4, 
0.0315,-10,8.4,1.2, 
0.0316,-10.4,8.2,1.4, 
0.0317,-10.8,8,2.4, 
0.0318,-11,7.8,2.6, 
0.0319,-11.4,7.6,3.4, 
0.032,-11.4,7.4,4, 
0.0321,-12.2,7,4.6, 
0.0322,-12.4,7,5, 
0.0323,-12.8,6.8,5.8, 
0.0324,-13.2,6.6,6.2, 
0.0325,-13.4,6.4,6.8, 
0.0326,-13.6,6.4,7.4, 
0.0327,-14.2,6.2,8, 
0.0328,-14.2,6.4,8.2, 
0.0329,-14.8,6.4,8.8, 
0.033,-14.8,6.2,9, 
0.0331,-15,6.4,9.2, 
0.0332,-15.4,6.4,9.6, 
0.0333,-15,6.4,9.8, 
0.0334,-15.6,6.4,9.8, 
0.0335,-15.6,6.4,10.2, 
0.0336,-15.6,6.4,10, 
0.0337,-15.8,6,10.4, 
0.0338,-15.6,5.8,10.4, 
0.0339,-15,5.2,10.2, 
0.034,-15,5.2,10.4, 
0.0341,-14.4,4.4,10.2, 
0.0342,-14.4,4.2,10.4, 
0.0343,-13.8,3,10.8, 
0.0344,-13.6,2.8,10.8, 
0.0345,-13,1.6,11.2, 
0.0346,-13,1.4,11.4, 
0.0347,-12.4,0,11.8, 
0.0348,-12.2,-0.2,11.8, 
0.0349,-11.4,-1.6,12.2, 
0.035,-11.6,-1.8,12.6, 
0.0351,-10.8,-3,12.8, 
0.0352,-10.6,-3.4,13.2, 
0.0353,-10,-4.4,13.4, 
0.0354,-10,-4.8,13.8, 
0.0355,-9.6,-6,14.4, 
0.0356,-9.6,-6.2,14.2, 
0.0357,-9.2,-7.2,15.2, 
0.0358,-9,-7.6,15.2, 
0.0359,-8.6,-8.4,15.8, 
0.036,-8.4,-8.6,15.8, 
0.0361,-8.4,-9.4,16.2, 
0.0362,-8,-9.8,16.4, 
0.0363,-8.2,-10.2,17, 
0.0364,-7.8,-10.6,16.8, 
0.0365,-8,-11,17.4, 
0.0366,-8,-11,17.6, 
0.0367,-7.8,-11.4,17.4, 
0.0368,-8,-11.4,17.6, 
0.0369,-7.6,-11.6,17.4, 
0.037,-7.6,-11.6,17.6, 
0.0371,-7,-11.6,17, 
0.0372,-7,-11.6,17.2, 
0.0373,-6.4,-11.4,16.2, 
0.0374,-6.4,-11.2,16.2, 
0.0375,-5.6,-11.4,15.4, 
0.0376,-5.4,-11.4,15.4, 
0.0377,-4.2,-11.2,14.2, 
0.0378,-4.4,-11.2,14.2, 
0.0379,-3.2,-11.6,13.4, 
